course,branch,category,cutoff_rank
ENGG,AE Aeronaut.Engg,1G,36920
ENGG,Bus Sys.,1G,23455
ENGG,CS Computers,1G,18019
ENGG,EC Electronics,1G,27634
ENGG,IE Info.Science,1G,22874
ENGG,CE Civil,1G,85028
ENGG,CS Computers,1G,23629
ENGG,EC Electronics,1G,41590
ENGG,EE Electrical,1G,67347
ENGG,Engg,1G,77355
ENGG,ME Mechanical,1G,1602
ENGG,RI Robotics and AI,1G,94893
ENGG,Intelligence,1G,60737
ENGG,Bus Sys.,1G,60298
ENGG,and Design,1G,69266
ENGG,CE Civil,1G,4024
ENGG,CS Computers,1G,37038
ENGG,Data Sc.,1G,46014
ENGG,EC Electronics,1G,49730
ENGG,EE Electrical,1G,71944
ENGG,IE Info.Science,1G,59174
ENGG,ME Mechanical,1G,5784
ENGG,TX Textiles,1G,0276
ENGG,CE Civil,1G,3586
ENGG,CS Computers,1G,88079
ENGG,EC Electronics,1G,1299
ENGG,EE Electrical,1G,3282
ENGG,Intelligence,1G,62243
ENGG,CE Civil,1G,8517
ENGG,CS Computers,1G,51824
ENGG,EC Electronics,1G,87291
ENGG,EE Electrical,1G,4009
ENGG,IE Info.Science,1G,66292
ENGG,ME Mechanical,1G,7317
ENGG,Intelligence,1G,46035
ENGG,CE Civil,1G,6685
ENGG,CS Computers,1G,31646
ENGG,Data Sc.,1G,55440
ENGG,EC Electronics,1G,46353
ENGG,EE Electrical,1G,86169
ENGG,Telecommn. Engg.,1G,0483
ENGG,IE Info.Science,1G,44721
ENGG,ME Mechanical,1G,8763
ENGG,RI Robotics and AI,1G,81312
ENGG,CE Civil,1G,1411
ENGG,CS Computers,1G,39048
ENGG,EC Electronics,1G,79866
ENGG,EE Electrical,1G,79943
ENGG,Engg,1G,3678
ENGG,ME Mechanical,1G,5933
ENGG,RI Robotics and AI,1G,95947
ENGG,CS Computers,1G,87196
ENGG,EC Electronics,1G,1421
ENGG,IE Info.Science,1G,2813
ENGG,"CA CS (AI, MachineLearning)",1G,28224
ENGG,CE Civil,1G,2099
ENGG,CS Computers,1G,24850
ENGG,EC Electronics,1G,32388
ENGG,EE Electrical,1G,38303
ENGG,IE Info.Science,1G,28514
ENGG,ME Mechanical,1G,86588
ENGG,Intelligence,1G,80148
ENGG,CS Computers,1G,42622
ENGG,Data Sc.,1G,88282
ENGG,EC Electronics,1G,92926
ENGG,EE Electrical,1G,1990
ENGG,EC Electronics,1G,2236
ENGG,CE Civil,1G,6059
ENGG,CS Computers,1G,33060
ENGG,EC Electronics,1G,58069
ENGG,EE Electrical,1G,1625
ENGG,IE Info.Science,1G,56834
ENGG,BT Bio Technology,1G,89743
ENGG,CE Civil,1G,7930
ENGG,CS Computers,1G,36198
ENGG,EC Electronics,1G,50714
ENGG,EE Electrical,1G,84222
ENGG,IE Info.Science,1G,44633
ENGG,ME Mechanical,1G,4097
ENGG,AE Aeronaut.Engg,1G,45876
ENGG,Intelligence,1G,26553
ENGG,CE Civil,1G,2937
ENGG,CS Computers,1G,26320
ENGG,Data Sc.,1G,29915
ENGG,EC Electronics,1G,34152
ENGG,EE Electrical,1G,54964
ENGG,IE Info.Science,1G,30788
ENGG,ME Mechanical,1G,0443
ENGG,IE Info.Science,1G,1501
ENGG,ME Mechanical,1G,9310
ENGG,ZC CSC,1G,2795
ENGG,"CA CS (AI, MachineLearning)",1G,24642
ENGG,CE Civil,1G,2684
ENGG,CS Computers,1G,21036
ENGG,EC Electronics,1G,30021
ENGG,Engg,1G,68438
ENGG,IE Info.Science,1G,25099
ENGG,ME Mechanical,1G,3464
ENGG,Automation,1G,49305
ENGG,Intelligence,1G,70150
ENGG,CS Computers,1G,69765
ENGG,EC Electronics,1G,88404
ENGG,IE Info.Science,1G,82423
ENGG,CS Computers,1G,58653
ENGG,EC Electronics,1G,85615
ENGG,IE Info.Science,1G,74768
ENGG,ME Mechanical,1G,4715
ENGG,Intelligence,1G,69599
ENGG,CS Computers,1G,53718
ENGG,EC Electronics,1G,93246
ENGG,"IC CS-IoT, CyberSecurity",1G,0283
ENGG,IE Info.Science,1G,82382
ENGG,ME Mechanical,1G,6821
ENGG,Intelligence,1G,70837
ENGG,CS Computers,1G,63261
ENGG,EC Electronics,1G,92661
ENGG,IE Info.Science,1G,84235
ENGG,ME Mechanical,1G,3112
ENGG,Intelligence,1G,62835
ENGG,CS Computers,1G,59572
ENGG,IE Info.Science,1G,81074
ENGG,CS Computers,1G,67271
ENGG,EC Electronics,1G,99866
ENGG,Intelligence,1G,40881
ENGG,Comm. Engg.,1G,56185
ENGG,and Design,1G,54211
ENGG,CS Computers,1G,37528
ENGG,EC Electronics,1G,56629
ENGG,"IC CS-IoT, CyberSecurity",1G,52175
ENGG,ME Mechanical,1G,8756
ENGG,Intelligence,1G,55586
ENGG,CE Civil,1G,8445
ENGG,CS Computers,1G,47512
ENGG,Data Sc.,1G,61213
ENGG,EC Electronics,1G,99650
ENGG,IE Info.Science,1G,78616
ENGG,ME Mechanical,1G,8576
ENGG,CS Computers,1G,1560
ENGG,"AD ArtificialIntel, Data Sc",1G,88588
ENGG,Intelligence,1G,0789
ENGG,CS Computers,1G,75590
ENGG,EC Electronics,1G,3419
ENGG,AE Aeronaut.Engg,1G,80716
ENGG,Intelligence,1G,51712
ENGG,"CA CS (AI, MachineLearning)",1G,55171
ENGG,CS Computers,1G,40955
ENGG,Data Sc.,1G,58778
ENGG,EC Electronics,1G,62130
ENGG,EE Electrical,1G,95233
ENGG,IE Info.Science,1G,55756
ENGG,"AD ArtificialIntel, Data Sc",1G,51312
ENGG,"CA CS (AI, MachineLearning)",1G,62408
ENGG,CS Computers,1G,46411
ENGG,EC Electronics,1G,77281
ENGG,"IC CS-IoT, CyberSecurity",1G,67667
ENGG,IE Info.Science,1G,67375
ENGG,"AD ArtificialIntel, Data Sc",1G,20056
ENGG,Intelligence,1G,24052
ENGG,"CA CS (AI, MachineLearning)",1G,20379
ENGG,CS Computers,1G,16776
ENGG,Data Sc.,1G,23772
ENGG,EC Electronics,1G,31753
ENGG,IE Info.Science,1G,22246
ENGG,Intelligence,1G,39214
ENGG,and Design,1G,67774
ENGG,CS Computers,1G,36222
ENGG,Data Sc.,1G,46241
ENGG,EC Electronics,1G,65671
ENGG,Computer,1G,80082
ENGG,IE Info.Science,1G,48829
ENGG,ME Mechanical,1G,3250
ENGG,Intelligence,1G,22619
ENGG,CS Computers,1G,20555
ENGG,Data Sc.,1G,22708
ENGG,EC Electronics,1G,24107
ENGG,EE Electrical,1G,50561
ENGG,ME Mechanical,1G,81868
ENGG,Intelligence,1G,74566
ENGG,CS Computers,1G,70292
ENGG,Data Sc.,1G,90366
ENGG,EC Electronics,1G,0016
ENGG,"IC CS-IoT, CyberSecurity",1G,0556
ENGG,IE Info.Science,1G,77072
ENGG,"AD ArtificialIntel, Data Sc",1G,78556
ENGG,CE Civil,1G,8606
ENGG,CS Computers,1G,74598
ENGG,EC Electronics,1G,80319
ENGG,IE Info.Science,1G,75188
