course,branch,category,cutoff_rank
ENGG,CS Computers,1RH,16993
ENGG,CS Computers,1RH,87457
ENGG,EC Electronics,1RH,12458
ENGG,EC Electronics,1RH,18101
ENGG,CS Computers,1RH,17671
ENGG,CS Computers,1RH,173675
ENGG,BX B Tech in CY,1RH,115267
ENGG,CW B Tech in IT,1RH,20928
ENGG,AM B Tech in AM,1RH,19825
ENGG,"CA CS (AI, MachineLearning)",1RH,20470
ENGG,EC Electronics,1RH,17599
ENGG,CS Computers,1RH,10411
ENGG,CS Computers,1RH,10461
ENGG,EC Electronics,1RH,18242
ENGG,EC Electronics,1RH,24277
ENGG,CS Computers,1RH,10104
ENGG,Intelligence,2AH,8229
ENGG,CE Civil,2AH,74114
ENGG,CS Computers,2AH,7279
ENGG,EC Electronics,2AH,14565
ENGG,EE Electrical,2AH,28777
ENGG,IE Info.Science,2AH,11546
ENGG,ME Mechanical,2AH,75384
ENGG,CS Computers,2AH,22179
ENGG,EC Electronics,2AH,36035
ENGG,EE Electrical,2AH,18804
ENGG,ME Mechanical,2AH,45696
ENGG,CE Civil,2AH,113375
ENGG,CS Computers,2AH,12396
ENGG,EC Electronics,2AH,29311
ENGG,EE Electrical,2AH,42237
ENGG,ME Mechanical,2AH,132568
ENGG,"CA CS (AI, MachineLearning)",2AH,2067
ENGG,CS Computers,2AH,1063
ENGG,EC Electronics,2AH,5919
ENGG,IE Info.Science,2AH,2492
ENGG,Mgmt.,2AH,36883
ENGG,ME Mechanical,2AH,16661
ENGG,BT Bio Technology,2AH,33901
ENGG,"CA CS (AI, MachineLearning)",2AH,7390
ENGG,CS Computers,2AH,3596
ENGG,EC Electronics,2AH,11477
ENGG,IE Info.Science,2AH,5821
ENGG,ME Mechanical,2AH,56079
ENGG,CE Civil,2AH,112180
ENGG,CS Computers,2AH,7427
ENGG,Security,2AH,14927
ENGG,EC Electronics,2AH,20011
ENGG,EE Electrical,2AH,30575
ENGG,Telecommn. Engg.,2AH,41664
ENGG,IE Info.Science,2AH,10085
ENGG,ME Mechanical,2AH,75811
ENGG,CE Civil,2AH,125626
ENGG,CS Computers,2AH,9186
ENGG,EC Electronics,2AH,20509
ENGG,IE Info.Science,2AH,13409
ENGG,ME Mechanical,2AH,99172
ENGG,AM B Tech in AM,2AH,6159
ENGG,BB B Tech in EC,2AH,10608
ENGG,BW B Tech in CS,2AH,4205
ENGG,DB B Tech in ME,2AH,47507
ENGG,AE Aeronaut.Engg,2AH,75995
ENGG,CS Computers,2AH,25839
ENGG,EC Electronics,2AH,35805
ENGG,Engg.,2AH,71337
ENGG,CE Civil,2AH,137067
ENGG,CS Computers,2AH,17997
ENGG,EC Electronics,2AH,26124
ENGG,EE Electrical,2AH,43767
ENGG,IE Info.Science,2AH,22651
ENGG,CS Computers,2AH,107072
ENGG,CS Computers,2AH,55176
ENGG,EC Electronics,2AH,89175
ENGG,IE Info.Science,2AH,73401
ENGG,CS Computers,2AH,115981
ENGG,EE Electrical,2AH,182981
ENGG,CH Chemical,2AH,109141
ENGG,CS Computers,2AH,11766
ENGG,EC Electronics,2AH,17811
ENGG,IE Info.Science,2AH,14244
ENGG,Mgmt.,2AH,105411
ENGG,ME Mechanical,2AH,88337
ENGG,CS Computers,2AH,53259
ENGG,EC Electronics,2AH,83627
ENGG,EE Electrical,2AH,101396
ENGG,RI Robotics and AI,2AH,113025
ENGG,CS Computers,2AH,87829
ENGG,EC Electronics,2AH,133385
ENGG,EC Electronics,2AH,12868
ENGG,EE Electrical,2AH,32182
ENGG,"EL Electronics,Instr. Tech.",2AH,51260
ENGG,EN Environmental,2AH,144144
ENGG,PT Polymer Tech.,2AH,263815
ENGG,CE Civil,2AH,97668
ENGG,EC Electronics,2AH,18180
ENGG,CE Civil,2AH,155926
ENGG,ME Mechanical,2AH,155481
ENGG,CE Civil,2AH,194941
ENGG,EE Electrical,2AH,84957
ENGG,ME Mechanical,2AH,200708
ENGG,CS Computers,2AH,86370
ENGG,EC Electronics,2AH,118367
ENGG,CE Civil,2AH,124218
ENGG,CS Computers,2AH,26722
ENGG,EC Electronics,2AH,42346
ENGG,ME Mechanical,2AH,203807
ENGG,CS Computers,2AH,105298
ENGG,IE Info.Science,2AH,133832
ENGG,EC Electronics,2AH,25820
ENGG,ME Mechanical,2AH,129121
ENGG,CS Computers,2AH,142468
ENGG,RI Robotics and AI,2AH,153421
ENGG,CS Computers,2AH,28944
ENGG,EC Electronics,2AH,43716
ENGG,CE Civil,2AH,229729
ENGG,CS Computers,2AH,23709
ENGG,EC Electronics,2AH,31597
ENGG,ME Mechanical,2AH,166853
ENGG,CE Civil,2AH,197414
ENGG,CS Computers,2AH,60809
ENGG,EE Electrical,2AH,79656
ENGG,CS Computers,2AH,94736
ENGG,EC Electronics,2AH,13776
ENGG,CE Civil,2AH,18503
ENGG,EC Electronics,2AH,68959
ENGG,EE Electrical,2AH,12350
ENGG,ME Mechanical,2AH,26127
ENGG,AE Aeronaut.Engg,2AH,11819
ENGG,CS Computers,2AH,13876
ENGG,EC Electronics,2AH,14694
ENGG,Intelligence,2AH,11165
ENGG,"CA CS (AI, MachineLearning)",2AH,12078
ENGG,CE Civil,2AH,20779
ENGG,CS Computers,2AH,88465
ENGG,Data Sc.,2AH,11396
ENGG,EC Electronics,2AH,16180
ENGG,EE Electrical,2AH,15341
ENGG,"IC CS-IoT, CyberSecurity",2AH,17682
ENGG,IE Info.Science,2AH,15327
ENGG,"CA CS (AI, MachineLearning)",2AH,15588
ENGG,CE Civil,2AH,23771
ENGG,CH Chemical,2AH,18345
ENGG,CS Computers,2AH,11557
ENGG,Security,2AH,17296
ENGG,Data Sc.,2AH,17213
ENGG,EC Electronics,2AH,17998
ENGG,"CA CS (AI, MachineLearning)",2AH,110422
ENGG,CE Civil,2AH,270151
ENGG,CS Computers,2AH,85644
ENGG,Data Sc.,2AH,110212
ENGG,EC Electronics,2AH,136284
ENGG,EE Electrical,2AH,191806
ENGG,IE Info.Science,2AH,130513
ENGG,CE Civil,2AH,218929
ENGG,CS Computers,2AH,100794
ENGG,EC Electronics,2AH,133083
ENGG,Bus Sys.,2AH,88755
ENGG,CS Computers,2AH,35413
ENGG,IE Info.Science,2AH,43992
ENGG,Intelligence,2AH,6870
ENGG,CE Civil,2AH,69747
ENGG,CS Computers,2AH,6291
ENGG,EC Electronics,2AH,12605
ENGG,Engg.,2AH,28497
ENGG,CS Computers,2AH,35718
ENGG,IE Info.Science,2AH,46316
ENGG,CS Computers,2AH,11317
ENGG,CE Civil,2AH,27124
ENGG,EE Electrical,2AH,52992
ENGG,CS Computers,2AH,8435
ENGG,EC Electronics,2AH,13450
ENGG,CS Computers,2AH,34025
ENGG,EC Electronics,2AH,50576
ENGG,Intelligence,2AH,73629
ENGG,and Design,2AH,121669
ENGG,CE Civil,2AH,252480
ENGG,CS Computers,2AH,54548
ENGG,EC Electronics,2AH,105254
ENGG,EE Electrical,2AH,106237
ENGG,Engg,2AH,224964
ENGG,IE Info.Science,2AH,70600
ENGG,ME Mechanical,2AH,208149
ENGG,CS Computers,2AH,22797
ENGG,IE Info.Science,2AH,24606
ENGG,CS Computers,2AH,35642
ENGG,EC Electronics,2AH,48801
ENGG,Intelligence,2AH,50750
ENGG,Bus Sys.,2AH,95475
ENGG,CS Computers,2AH,34609
ENGG,EC Electronics,2AH,53282
ENGG,IE Info.Science,2AH,51013
ENGG,ME Mechanical,2AH,174340
ENGG,TX Textiles,2AH,215125
ENGG,CS Computers,2AH,101464
ENGG,CS Computers,2AH,73740
ENGG,EC Electronics,2AH,118528
ENGG,CE Civil,2AH,269178
ENGG,CS Computers,2AH,52533
ENGG,EC Electronics,2AH,71654
ENGG,IE Info.Science,2AH,87070
ENGG,CS Computers,2AH,55185
ENGG,EC Electronics,2AH,75137
ENGG,IE Info.Science,2AH,166957
ENGG,"CA CS (AI, MachineLearning)",2AH,32917
ENGG,CE Civil,2AH,191049
ENGG,CS Computers,2AH,27996
ENGG,EC Electronics,2AH,35120
ENGG,IE Info.Science,2AH,33224
ENGG,Intelligence,2AH,74582
ENGG,CE Civil,2AH,238086
ENGG,Intel.),2AH,75349
ENGG,CS Computers,2AH,55210
ENGG,Data Sc.,2AH,80116
ENGG,EC Electronics,2AH,82503
ENGG,EE Electrical,2AH,144427
ENGG,ME Mechanical,2AH,226467
ENGG,"CA CS (AI, MachineLearning)",2AH,123428
ENGG,CE Civil,2AH,228189
ENGG,CS Computers,2AH,117723
ENGG,EC Electronics,2AH,133904
ENGG,EE Electrical,2AH,196630
ENGG,CS Computers,2AH,43125
ENGG,EC Electronics,2AH,73992
