Unnamed: 0,1H,1KH,1RH,2AH,2AKH,2ARH,2BH,2BKH,2BRH,3AH,3AKH,3ARH,3BH,3BKH,3BRH,GMH,GMKH,GMRH,SCH,SCKH,SCRH,STH,STKH,STRH
AE Aeronaut.Engg,--,--,--,--,--,--,--,--,--,43303,--,--,--,--,--,17477,--,--,--,--,--,--,--,--
AI ArtificialIntelligence,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5215,--,--,35290,--,--,--,--,--
AU Automobile,--,--,--,--,--,--,--,--,--,60361,--,--,--,--,--,85383,--,--,--,--,--,--,--,--
BT Bio Technology,--,--,--,--,--,--,--,--,--,--,--,--,38379,--,--,24493,--,--,--,--,--,--,--,--
CB Comp. Sc. andBus Sys.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8381,37797,--,--,--,--,--,--,--
CD Computer Sc.and Design,--,--,--,--,--,21901,--,--,--,--,--,--,--,--,--,8759,--,--,--,--,--,--,--,--
CE Civil,--,--,--,112180,--,--,--,--,--,--,--,--,--,--,--,77251,--,10081,13322,--,16201,14573,--,--
CH Chemical,--,--,--,--,--,--,1048,--,--,--,--,--,--,--,--,49550,--,--,12128,--,--,--,--,--
CS Computers,--,--,--,7427,--,--,--,--,--,--,--,--,--,--,--,4714,--,7064,30857,48716,--,32818,--,--
CY CS- CyberSecurity,--,--,--,14927,--,--,--,--,--,--,--,--,--,--,--,6566,--,--,--,--,--,--,--,--
DS Comp. Sc. Engg-Data Sc.,--,--,--,--,--,--,11832,--,--,--,--,--,--,--,--,4937,--,--,--,--,--,--,--,--
EC Electronics,--,--,--,20011,22382,--,--,--,--,--,--,--,10811,--,--,9456,--,--,58261,--,--,50219,--,58251
EE Electrical,--,--,--,30575,--,--,--,--,--,--,--,--,--,--,35937,22077,--,--,85311,--,--,--,--,--
EI Elec. Inst.Engg,51797,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39483,--,--,--,--,--,--
ET Elec.Telecommn. Engg.,--,--,--,41664,--,--,--,--,--,--,--,--,--,--,--,18724,--,42851,11567,--,--,--,--,--
"IC CS-IoT, CyberSecurity",--,--,--,--,--,--,--,--,--,--,--,--,9103,--,--,7088,--,--,--,--,--,--,--,--
IE Info.Science,--,--,--,10085,--,--,--,--,--,--,--,--,--,--,--,6372,--,--,42501,--,51900,41891,--,--
MD Med.Elect.,1520,--,--,--,--,--,--,--,--,--,--,--,--,--,--,77352,--,--,--,--,--,--,--,--
ME Mechanical,--,--,--,75811,--,--,--,--,--,--,--,--,--,--,--,50571,--,75350,12951,--,--,--,--,--
RI Robotics and AI,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11120,--,--,62608,--,--,--,--,--
AI ArtificialIntelligence,--,--,--,--,--,--,20579,--,--,--,--,--,--,--,--,7404,--,--,--,--,--,--,--,--
CE Civil,--,--,--,125626,--,--,--,--,--,--,--,--,--,--,--,81792,--,11703,15210,--,--,--,--,--
CS Computers,--,--,--,9186,--,--,--,--,--,--,--,--,--,--,--,6662,11154,--,38447,--,52466,38498,--,--
DS Comp. Sc. Engg-Data Sc.,--,--,--,--,--,--,--,--,--,--,--,--,9652,--,--,8910,--,--,--,--,--,--,--,--
EC Electronics,--,--,--,20509,--,--,--,--,--,--,--,--,--,--,23094,9938,--,--,73493,--,--,64177,--,--
EE Electrical,--,--,--,--,--,--,60578,--,--,--,--,--,--,--,--,26186,--,--,--,--,--,--,--,--
EI Elec. Inst.Engg,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41129,--,--,19112,--,--,--,--,--
ET Elec.Telecommn. Engg.,--,--,--,--,--,--,--,--,--,28947,--,--,--,--,--,27624,--,--,--,--,--,--,--,--
EV EC  Engg(VLSIDesign),37319,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25034,--,--,--,--,--,--,--,--
"IC CS-IoT, CyberSecurity",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11775,--,--,--,--,--,--,--,97034
IE Info.Science,--,--,--,13409,--,--,--,--,--,--,--,--,9849,--,--,7979,--,15867,64326,83790,--,--,--,--
ME Mechanical,--,--,--,99172,--,--,--,--,--,--,--,--,--,--,--,61389,--,--,16735,--,--,--,--,--
RI Robotics and AI,--,--,--,--,--,--,--,--,--,26492,--,--,--,--,--,--,--,35994,--,--,--,--,--,--
AM B Tech in AM,--,--,--,6159,10568,--,--,--,--,--,--,--,3062,--,7524,2953,--,5635,31906,--,--,32979,--,--
AR Architecture,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,115,--,--,--,--,--,--,--,--
BB B Tech in EC,10300,--,--,10608,--,--,--,--,--,--,--,--,--,--,--,4921,--,9319,44194,--,--,48240,--,55488
BJ B Tech in EE,--,--,--,--,--,--,--,--,--,9811,--,--,--,--,--,--,--,--,--,--,--,--,--,--
BO B Tech in BT,--,--,--,--,--,--,3251,--,--,--,--,--,--,--,--,--,--,59863,--,--,--,--,--,--
BW B Tech in CS,4255,--,--,4205,--,7610,8489,--,--,2020,--,--,2295,--,--,1860,7845,3501,25646,--,38968,27503,--,--
DB B Tech in ME,--,--,--,47507,--,--,--,--,--,--,--,--,--,--,--,15409,--,--,--,--,--,--,--,--
AE Aeronaut.Engg,--,--,--,75995,--,--,--,--,--,--,--,--,--,--,--,52282,--,73693,--,--,--,--,--,--
AI ArtificialIntelligence,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23947,--,--,74221,--,--,--,--,--
CD Computer Sc.and Design,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30529,--,--,--,13034,--,--,--,--
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,12687,--,--,--,--,--,--,--,--,--,--,--
CH Chemical,--,--,--,--,--,--,5185,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CS Computers,--,--,--,25839,--,--,--,--,--,--,--,--,--,--,--,21838,32097,--,69048,--,--,61841,--,85717
DS Comp. Sc. Engg-Data Sc.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26766,--,--,--,--,--,74106,--,--
EB EAT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,40406,--,--,12144,--,--,--,--,--
EC Electronics,--,--,--,35805,--,--,--,--,--,--,--,--,--,--,--,33978,--,--,97165,--,13617,--,--,--
EE Electrical,--,--,--,--,--,--,--,--,--,64988,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EV EC  Engg(VLSIDesign),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,42775,--,60136,--,--,--,--,--,--
IE Info.Science,--,--,--,--,--,46332,--,--,--,--,--,--,--,--,--,26328,--,--,11066,--,--,--,--,--
ME Mechanical,6680,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
OT Industrial IOT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,93373,--,--,--,--,--,--,--,--
SE Aero SpaceEngg.,--,--,--,71337,--,--,--,--,--,--,--,--,--,--,--,69176,--,--,--,--,--,--,--,--
AI ArtificialIntelligence,--,--,--,--,--,--,--,--,--,--,--,--,15007,--,--,14113,--,--,--,--,--,--,--,--
BT Bio Technology,0998,--,--,--,--,--,--,--,--,--,--,--,--,--,--,34209,--,--,--,--,--,--,--,--
CE Civil,--,--,--,137067,--,--,--,--,--,--,--,--,--,--,--,99877,--,--,--,--,--,--,--,--
CS Computers,--,--,--,17997,--,--,--,--,--,--,--,--,--,--,--,13978,--,--,53024,63717,--,42171,--,64389
DS Comp. Sc. Engg-Data Sc.,--,--,--,--,--,27776,--,--,--,--,--,--,--,--,--,18274,--,--,--,--,--,--,--,--
EC Electronics,--,--,--,26124,--,--,--,--,--,--,--,--,--,--,--,19846,--,29893,77155,--,--,--,--,--
EE Electrical,--,--,--,43767,--,--,--,--,--,--,--,--,--,--,--,38399,--,52592,12337,--,--,--,--,--
ES Electronics andComputer,--,--,--,--,--,--,--,--,--,52951,--,--,--,--,--,--,--,56349,--,--,--,--,--,--
"IC CS-IoT, CyberSecurity",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19429,--,--,84469,--,--,--,--,--
IE Info.Science,--,--,--,22651,--,--,--,--,--,--,--,--,--,--,--,16373,--,--,81038,--,10128,--,--,--
ME Mechanical,--,--,--,--,--,--,52202,--,--,--,--,--,--,--,--,--,13891,--,--,--,--,--,--,--
RI Robotics and AI,--,--,--,--,--,--,--,--,--,--,--,--,31380,--,--,26832,--,--,--,--,--,--,--,--
TC Telecommn.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,59426,--,--,--,--,--,--,--,--
AI ArtificialIntelligence,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,86392,--,10909,--,--,--,--,--,--
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CS Computers,--,--,--,107072,--,--,--,--,39637,--,--,--,--,--,--,89611,--,--,16999,--,--,--,--,--
CY CS- CyberSecurity,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,90011,--,--,--,--,--,--,--,--
EC Electronics,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10293,--,--,19736,--,--,--,--,--
EE Electrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23677,--,--
IE Info.Science,--,--,--,--,65215,--,--,--,--,11399,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
RI Robotics and AI,--,--,--,--,--,--,--,--,--,--,--,--,14909,--,--,--,--,--,--,--,--,--,--,--
"AD ArtificialIntel, Data Sc",--,--,--,--,--,35620,--,--,--,--,--,--,--,--,--,50260,--,--,--,--,--,--,--,--
AE Aeronaut.Engg,--,--,--,--,--,--,97131,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"CA CS (AI, MachineLearning)",--,--,--,--,69136,--,--,--,--,--,--,--,--,--,--,41947,--,--,--,--,--,--,--,--
CD Computer Sc.and Design,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,77435,--,--,27215,--,--,--,--,--
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,87241,--,--,16067,--,--,--,--,--,--,--,--
CK Civil Engg(Kannada),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CS Computers,--,--,--,55176,--,--,--,--,--,--,--,--,--,--,--,41366,--,48752,10564,--,--,10580,--,--
EC Electronics,--,--,--,89175,--,--,--,--,--,--,--,--,--,--,--,69183,--,10052,18308,--,--,17124,--,--
IE Info.Science,--,--,--,73401,--,--,--,--,--,--,--,--,--,--,--,47935,--,--,15456,--,22538,--,--,--
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SE Aero SpaceEngg.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,49179,--,--,--,--,--,--,--,--
"CA CS (AI, MachineLearning)",--,--,--,--,--,--,--,--,--,--,--,--,19974,--,--,--,--,12229,--,--,--,--,--,--
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CS Computers,--,--,12098,115981,--,--,--,--,--,--,--,--,--,--,--,10151,10381,11015,15968,--,--,17054,--,--
EC Electronics,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12193,--,--,19522,--,--,--,--,--
EE Electrical,--,--,--,182981,--,--,--,--,--,--,--,--,--,--,--,13842,--,--,--,--,--,--,--,--
ME Mechanical,--,--,--,--,--,--,--,--,--,51887,--,--,18622,--,--,--,--,--,--,--,--,--,--,--
MI MiningEngineering,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14643,--,--,--,--,27102,--,--,--
"AD ArtificialIntel, Data Sc",--,--,--,--,--,--,--,--,--,--,--,--,12558,--,--,11136,--,--,--,--,--,--,--,--
BT Bio Technology,--,--,--,--,--,--,--,--,--,--,--,--,58328,--,--,50131,--,--,--,--,--,--,--,--
"CA CS (AI, MachineLearning)",--,--,--,--,--,--,--,--,--,12285,--,--,--,--,--,--,--,--,--,88948,--,--,--,--
CE Civil,--,--,--,--,--,--,71244,--,--,--,--,--,--,--,--,88860,--,--,--,--,--,--,--,--
CH Chemical,--,--,--,109141,--,--,--,--,--,--,--,--,--,--,--,61935,--,--,--,--,22363,17626,--,--
CS Computers,--,--,--,11766,--,12457,--,--,--,--,--,--,--,--,--,7249,--,--,36423,--,--,43739,--,--
EC Electronics,--,--,--,17811,--,--,--,--,--,--,--,--,--,--,--,13534,--,16746,65426,--,--,--,--,--
EE Electrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27062,35016,--,--,--,--,--,--,--
EI Elec. Inst.Engg,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39523,--,--,12427,--,--,15009,--,--
ET Elec.Telecommn. Engg.,3496,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28197,--,--,--,--,--,--,--,192083
IE Info.Science,--,--,--,14244,--,--,--,--,--,--,--,--,--,--,--,10153,--,11619,54317,--,--,--,--,--
IM Ind. Engg.Mgmt.,--,--,--,105411,--,--,--,--,--,--,--,--,--,--,--,92005,--,--,26700,--,--,--,--,--
ME Mechanical,--,--,--,88337,--,--,--,--,--,--,--,--,--,--,--,78820,--,87301,23259,--,--,--,--,--
AI ArtificialIntelligence,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41114,--,--,10518,--,--,--,--,--
BM Bio Medical,--,--,--,--,--,--,--,--,--,38958,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17265,--,--,--,--,--,--,--,--
CS Computers,--,--,--,53259,--,--,--,--,--,--,--,--,--,--,--,42852,--,48042,14274,--,--,--,--,--
CY CS- CyberSecurity,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,51152,--,--,--,--,--,96315,--,--
DS Comp. Sc. Engg-Data Sc.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,56138,--,--,--,--,--,14858,--,--
EC Electronics,--,--,--,83627,--,89275,--,--,--,--,--,--,--,--,--,60881,--,--,15838,--,--,--,--,--
EE Electrical,--,--,--,101396,--,--,--,--,--,--,--,--,--,--,--,87448,--,12869,18806,--,--,--,--,--
ET Elec.Telecommn. Engg.,--,--,--,--,--,--,--,--,--,--,--,--,05646,--,--,95924,--,--,--,--,--,--,--,--
IE Info.Science,--,--,--,--,--,--,74333,--,--,--,--,--,--,--,--,48277,--,--,--,--,--,--,--,--
ME Mechanical,9625,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
RI Robotics and AI,--,--,--,113025,--,--,--,--,--,--,--,--,--,--,--,80752,--,--,--,--,--,--,--,--
AI ArtificialIntelligence,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,90436,--,--,--,--,16100,--,--,--
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,47312,--,--,19021,--,--,--,--,--,--,--,--
CS Computers,--,--,--,87829,--,--,--,--,--,--,--,--,--,--,--,63204,--,--,16145,--,--,15239,--,159486
EC Electronics,--,--,--,133385,--,--,--,--,--,--,--,--,--,--,--,99489,--,12019,23760,--,--,--,--,--
IE Info.Science,--,--,--,--,--,--,00260,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19626,--,--,--,--,--,--,--,--
CE Civil,--,--,--,--,--,--,08923,--,--,65988,--,--,--,--,--,55384,--,--,--,--,16118,--,--,--
CS Computers,--,--,--,--,--,--,--,--,--,7149,--,--,--,--,--,2915,--,6192,--,--,--,24413,--,--
EC Electronics,--,--,--,12868,--,--,--,--,--,--,--,--,--,--,--,6355,--,--,52024,58832,--,--,--,--
EE Electrical,--,--,--,32182,--,43375,--,--,--,--,--,--,--,--,--,22591,--,--,91201,--,--,--,--,--
EI Elec. Inst.Engg,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"EL Electronics,Instr. Tech.",--,--,--,51260,--,--,--,--,--,--,--,--,--,--,--,28405,--,--,10499,--,--,--,--,--
EN Environmental,--,--,--,144144,--,--,--,--,--,--,--,--,--,--,--,10211,--,--,16037,--,--,--,--,--
IP Ind.Prodn.,--,--,--,--,--,--,--,--,--,--,--,--,38981,--,--,10885,24606,--,--,--,--,--,--,--
ME Mechanical,91539,--,--,--,--,--,--,--,--,--,--,--,--,--,--,40253,--,51597,--,--,--,18904,--,--
PT Polymer Tech.,--,--,--,263815,--,--,--,--,--,--,--,--,--,--,--,14620,--,--,18088,--,--,--,--,--
CE Civil,4190,--,--,97668,--,--,--,--,--,--,--,--,--,--,--,81186,--,10255,14074,--,--,--,--,--
EC Electronics,--,--,35030,18180,--,--,--,--,--,--,--,--,--,--,--,10147,--,--,42091,--,--,--,--,--
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,85757,--,46692,--,--,--,--,--,18124,--,--
AU Automobile,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CE Civil,--,--,--,155926,--,--,57414,--,--,--,--,--,--,--,--,14836,--,--,20882,--,26654,--,--,--
EC Electronics,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,35483,--,47913,87921,--,--,--,--,--
EE Electrical,4478,--,--,--,--,--,--,--,--,38550,--,--,--,--,--,52437,--,--,--,--,--,--,--,--
IP Ind.Prodn.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ME Mechanical,--,--,--,155481,--,--,--,--,--,--,--,--,52897,--,--,14107,--,15580,24032,--,--,--,--,--
CE Civil,--,--,--,194941,--,--,--,--,--,--,--,--,--,--,--,13001,--,--,20527,--,--,--,--,--
EC Electronics,60308,--,--,--,--,--,74086,--,15021,--,--,--,--,--,--,34309,--,--,--,--,--,--,--,--
EE Electrical,--,--,--,84957,--,--,--,--,--,--,--,--,--,--,--,83658,--,--,14245,--,--,--,--,--
ME Mechanical,--,--,--,200708,--,--,--,--,--,--,--,--,88177,--,--,15934,--,18309,--,--,--,--,--,--
CD Computer Sc.and Design,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10510,--,--,--,--,--,--,--,--
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15160,--,--,--,--,--,--,--,--
CS Computers,--,--,--,86370,--,--,--,--,--,--,--,--,--,--,--,66459,--,85630,15582,--,--,--,--,--
EA AgricultureEngineering,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20429,--,--,--,--,--
EC Electronics,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,93444,10587,--,--,--,--,--,--,--
EE Electrical,--,--,--,--,--,--,14861,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CS Computers,--,--,--,--,--,3198,--,--,--,--,--,--,--,--,--,89194,--,10345,17275,--,--,--,--,--
EC Electronics,--,--,--,118367,--,--,--,--,--,--,--,--,--,--,--,11673,--,--,--,--,--,--,--,--
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,24547,--,--,--,--,--,--,--,--
RI Robotics and AI,6350,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25101,--,--,--,--,--
CE Civil,--,--,--,124218,--,4526,--,--,--,--,--,--,--,--,--,98056,--,--,19841,--,--,15967,--,--
CS Computers,--,--,--,26722,--,--,--,--,--,--,--,--,--,--,--,18251,--,--,60669,--,74477,--,--,--
EC Electronics,48899,--,--,42346,--,--,--,--,--,--,--,--,--,--,--,31017,--,40044,--,--,--,--,--,--
EE Electrical,--,--,--,--,--,--,--,--,--,85738,--,--,--,--,66004,56990,--,--,13375,--,--,--,--,--
IP Ind.Prodn.,--,--,--,--,--,--,26402,--,--,--,--,--,--,--,--,21277,--,--,--,--,--,--,--,--
ME Mechanical,--,--,--,203807,--,--,--,--,--,--,--,--,79117,--,--,15504,16649,--,--,--,--,--,--,--
